ID RA Dec RAHost DecHost zHost NormSep TDR zSource zSN tpk e_tpk x1 e_x1 c e_c mB e_mB logM e_logM distcorr PIa_PSNID PIa_NN PIa_Fitprob PIa_Galsnid
ps0909006 22:15:48.000 01:11:05.39 22:15:47.993 +01:11:05.20 -999 -999 -999 -999 0.284 55076.5 0.6 -0.1564 0.5967 0.1289 0.0481 21.5094 0.0702 -999.0 -999.0 0.012 1.0 1.0 1.0 1.0
ps0909010 02:28:28.368 -04:04:44.08 02:28:28.432 -04:04:44.54 -999 -999 -999 -999 0.270 55097.3 0.5 1.1987 0.5817 -0.0029 0.0328 21.1796 0.0383 -999.0 -999.0 0.011 1.0 1.0 1.0 1.0
ps0910017 02:21:06.600 -05:01:23.84 -999 -999 -999 -999 -999 -999 0.320 55109.6 0.8 -0.779 0.5728 -0.0985 0.0372 21.4279 0.0499 -999.0 -999.0 0.015 1.0 1.0 1.0 1.0
ps0910018 02:22:40.080 -04:01:38.32 02:22:40.054 -04:01:37.75 -999 -999 -999 -999 0.265 55110.2 0.3 -1.2404 0.3046 -0.1489 0.0396 20.9996 0.0493 -999.0 -999.0 0.011 1.0 1.0 1.0 1.0
psc000006 03:33:27.947 -28:22:17.47 03:33:27.922 -28:22:17.47 -999 -999 -999 -999 0.23 55204.1 0.4 -0.0113 0.393 0.138 0.0355 21.3969 0.0431 10.793 0.24 0.009 1.0 1.0 1.0 1.0
psc000010 09:58:59.759 +03:09:27.10 09:58:59.888 +03:09:27.47 0.24566 1.505 16.17 MMT 0.245 55215.3 0.3 0.2886 0.282 0.0226 0.0288 21.1587 0.036 10.786 0.14 0.01 1.0 1.0 1.0 1.0
psc000011 09:59:54.219 +02:24:42.83 09:59:54.251 +02:24:38.16 -999 6.497 3.61 zCOSMOS 0.38 55210.7 0.5 -2.6387 0.5718 0.1107 0.0403 22.871 0.0443 11.061 0.093 0.025 1.0 1.0 1.0 1.0
psc000014 02:23:30.711 -04:38:10.76 02:23:30.896 -04:38:10.36 0.13609 1.533 12.19 MMT 0.137 55201.1 0.4 0.3703 0.4396 -0.1052 0.0302 19.3857 0.0387 10.534 0.086 -0.002 1.0 1.0 1.0 1.0
psc000034 02:24:15.945 -03:11:11.52 02:24:15.923 -03:11:12.31 -999 -999 -999 -999 0.25 55208.2 0.3 1.0407 0.3641 -0.1064 0.0246 20.7099 0.0314 8.938 0.399 0.01 1.0 1.0 1.0 1.0
psc000038 02:20:22.959 -04:40:21.03 02:20:22.979 -04:40:23.16 0.15046 1.663 11.41 MMT 0.15 55204.3 0.2 0.6955 0.1666 -0.0204 0.0277 19.7034 0.0327 9.126 0.608 0.0 1.0 1.0 1.0 1.0
psc000091 08:37:18.936 +44:20:01.43 08:37:18.537 +44:20:08.07 -999 -999 -999 -999 0.152 55210.4 0.1 -2.3695 0.1193 -0.0108 0.0279 20.2646 0.0335 8.516 0.125 0.001 1.0 1.0 1.0 1.0
psc000142 10:49:14.218 +58:28:02.03 10:49:14.452 +58:28:02.82 -999 -999 -999 -999 0.436 55214.2 0.2 -0.7408 0.4174 -0.0226 0.038 22.7263 0.0351 11.274 0.202 0.037 1.0 1.0 1.0 1.0
psc000174 10:48:07.061 +56:51:00.55 10:48:07.023 +56:51:00.57 -999 -999 -999 -999 0.244 55216.8 0.2 -0.7304 0.2106 0.0957 0.0291 21.4106 0.034 10.532 0.089 0.01 1.0 1.0 1.0 1.0
psc000190 09:55:57.232 +02:15:48.47 09:55:57.179 +02:15:49.67 0.10229 1.250 6.55 MMT 0.101 55224.4 0.1 0.0907 0.0863 0.0123 0.025 19.2068 0.0326 9.799 0.89 -0.008 1.0 1.0 1.0 1.0
psc000196 10:00:27.617 +02:41:38.51 10:00:27.657 +02:41:37.91 -999 0.907 3.64 zCOSMOS 0.34 55216.6 0.2 0.423 0.2362 -0.0378 0.0246 21.798 0.0298 9.66 0.208 0.02 1.0 1.0 1.0 1.0
psc000199 10:04:55.535 +02:35:27.31 10:04:55.874 +02:35:20.47 -999 -999 -999 -999 0.37 55214.5 0.2 0.898 0.2176 -0.0964 0.0235 21.7385 0.0273 10.475 0.262 0.023 1.0 1.0 1.0 1.0
psc000202 10:02:09.395 +01:53:57.01 10:02:09.376 +01:53:56.10 -999 -999 -999 -999 0.618 55215.2 0.7 0.6024 0.5032 -0.1595 0.0396 23.0596 0.0353 9.943 58.126 0.09 1.0 1.0 1.0 1.0
psc000215 10:03:14.382 +03:08:39.21 10:03:14.363 +03:08:39.28 -999 -999 -999 -999 0.46 55222.9 0.3 0.8489 0.3017 -0.0986 0.0295 22.4422 0.0323 8.707 57.942 0.046 1.0 1.0 1.0 1.0
psc000220 10:02:08.821 +02:43:06.83 10:02:08.506 +02:43:07.34 0.21959 3.030 15.56 MMT 0.22 55227.5 0.1 -0.6833 0.1393 -0.1172 0.0266 20.6055 0.0331 11.335 0.083 0.008 1.0 1.0 1.0 1.0
psc000236 08:46:19.241 +44:04:22.97 08:46:19.461 +44:04:22.30 0.19589 1.916 14.88 MMT 0.195 55211.1 0.1 -0.1997 0.1266 -0.0758 0.0252 20.2901 0.0323 10.902 0.05 0.006 1.0 1.0 1.0 1.0
psc000420 09:59:16.800 +01:36:48.54 09:59:16.793 +01:36:48.63 0.58892 1.191 4.55 MMT 0.31 55223.4 0.2 -0.7543 0.1756 -0.071 0.0253 21.6608 0.0325 9.386 0.23 0.013 1.0 1.0 1.0 1.0
psc010010 10:03:26.076 +01:01:45.91 10:03:25.832 +01:01:43.48 -999 4.902 3.94 2df 0.09 55238.9 0.1 0.8864 0.1322 0.018 0.0255 19.1386 0.0321 10.104 0.061 -0.009 1.0 1.0 1.0 1.0
psc010026 10:42:41.888 +58:50:37.78 10:42:41.225 +58:50:39.37 0.03164 4.344 12.17 MMT 0.031 55248.0 0.1 -0.3796 0.0695 -0.0266 0.0313 16.4479 0.0365 10.205 0.108 -0.032 1.0 1.0 1.0 1.0
psc020027 12:25:20.677 +46:00:54.75 12:25:20.415 +46:00:58.59 0.10979 3.028 10.91 MMT 0.126 55270.7 0.2 0.315 0.1392 0.0409 0.0277 19.3544 0.0319 10.748 0.067 -0.005 1.0 1.0 1.0 1.0
psc020090 14:11:31.058 +53:34:46.47 14:11:30.863 +53:34:45.34 0.40977 1.272 10.77 MMT 0.409 55272.3 1.0 0.3937 0.9101 -0.0027 0.0471 22.3077 0.0566 11.32 0.306 0.03 1.0 1.0 1.0 1.0
psc020096 10:45:15.387 +58:11:33.76 10:45:15.284 +58:11:36.20 0.22551 6.974 7.56 MMT 0.23 55281.4 0.2 -0.6933 0.211 -0.064 0.0316 20.6647 0.0379 9.059 0.419 0.009 1.0 1.0 1.0 1.0
psc020132 10:00:21.197 +01:25:05.25 10:00:20.998 +01:25:03.29 0.14660 4.356 17.02 MMT 0.15 55276.8 0.0 -2.6877 0.4178 0.0862 0.0435 20.7399 0.0385 10.629 0.108 -0.0 1.0 1.0 1.0 1.0
psc020176 14:07:26.975 +53:20:34.49 14:07:27.024 +53:20:33.85 -999 -999 -999 -999 0.26 55270.0 0.1 0.8694 0.2895 -0.076 0.0264 20.9247 0.0297 8.795 0.47 0.011 1.0 1.0 1.0 1.0
psc030006 10:50:05.883 +58:46:38.70 10:50:06.010 +58:46:39.96 -999 -999 -999 -999 0.51 55288.5 0.8 0.4419 0.9535 -0.0829 0.0665 22.5203 0.1192 9.524 0.628 0.056 1.0 1.0 1.0 1.0
psc030066 10:00:44.014 +03:24:14.31 10:00:43.994 +03:24:15.37 0.22528 2.604 5.56 MMT 0.22 55300.4 0.6 1.3805 0.3574 -0.1224 0.0324 20.4095 0.0404 9.134 0.157 0.009 1.0 1.0 1.0 1.0
psc040137 14:17:50.504 +52:48:03.77 14:17:50.493 +52:48:03.97 -999 -999 -999 -999 0.447 55326.4 0.4 1.1088 0.5151 0.0369 0.0425 22.5329 0.0502 8.706 0.524 0.04 1.0 1.0 1.0 1.0
psc040150 10:48:23.471 +57:08:53.52 10:48:23.422 +57:08:47.05 -999 -999 -999 -999 0.381 55337.8 0.4 -0.2602 0.5191 -0.0374 0.0425 22.1985 0.0546 8.887 0.697 0.025 1.0 1.0 1.0 1.0
psc040166 14:16:28.708 +54:03:12.81 14:16:28.670 +54:03:12.71 -999 -999 -999 -999 0.443 55326.8 0.2 0.1608 0.4782 -0.1457 0.0428 22.508 0.0475 8.798 0.772 0.038 1.0 1.0 1.0 1.0
psc040198 10:45:09.372 +58:33:16.64 10:45:09.360 +58:33:16.75 0.24880 0.888 7.5 MMT 0.25 55337.5 0.2 0.0569 0.2596 -0.0135 0.03 21.1323 0.0373 9.541 0.408 0.01 1.0 1.0 1.0 1.0
